"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18330","ONEVIEW-790: Verify Remove button changes back to Add after removal @regression","chromium","Fri May 01 14:50:12 IST 2026","passed","Fri May 01 14:50:30 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","25111","ONEVIEW-850: Verify Add button adds a card to the dashboard layout @smoke","smoke","Fri May 01 14:34:44 IST 2026","passed","Fri May 01 14:35:09 IST 2026","Phase-2 > Add Cards > Smoke - Add Cards","smokePhase-2\AddCards.spec.js","",""
"","13895","ONEVIEW-740: Verify card icons and visual identity in Add Cards drawer @regression","chromium","Fri May 01 14:46:14 IST 2026","passed","Fri May 01 14:46:28 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","20505","ONEVIEW-765: Verify Add Cards option visibility in Edit Mode only @regression","chromium","Fri May 01 14:39:50 IST 2026","passed","Fri May 01 14:40:11 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","18978","ONEVIEW-796: Verify removed card does not appear in any column after layout changes @regression","chromium","Fri May 01 14:50:31 IST 2026","passed","Fri May 01 14:50:50 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","31403","ONEVIEW-745: Verify Card Selection Drawer opens on Add Cards click @regression","chromium","Fri May 01 14:41:51 IST 2026","passed","Fri May 01 14:42:23 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","18489","ONEVIEW-751: Verify Add button styling for cards not yet added @regression","chromium","Fri May 01 14:42:23 IST 2026","passed","Fri May 01 14:42:42 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","21616","ONEVIEW-799: Verify Remove action does not affect other dashboard data @regression","chromium","Fri May 01 14:50:50 IST 2026","passed","Fri May 01 14:51:12 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","22746","ONEVIEW-766: Verify Add Cards button styling and label @regression","chromium","Fri May 01 14:39:50 IST 2026","passed","Fri May 01 14:40:13 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","14695","ONEVIEW-851: Verify Add button changes to Remove after adding @smoke","smoke","Fri May 01 14:35:09 IST 2026","passed","Fri May 01 14:35:24 IST 2026","Phase-2 > Add Cards > Smoke - Add Cards","smokePhase-2\AddCards.spec.js","",""
"","19075","ONEVIEW-791: Verify layout reflows correctly after card removal @regression","chromium","Fri May 01 14:50:12 IST 2026","passed","Fri May 01 14:50:31 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","16972","ONEVIEW-758: Verify drawer auto-closes on exiting Edit Mode @regression","chromium","Fri May 01 14:43:01 IST 2026","passed","Fri May 01 14:43:18 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","29735","ONEVIEW-836: Verify Save after Restore Default creates new Preferred Layout @regression","chromium","Fri May 01 14:49:10 IST 2026","passed","Fri May 01 14:49:40 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","16900","ONEVIEW-742: Verify Add Cards drawer close behavior @regression","chromium","Fri May 01 14:46:24 IST 2026","passed","Fri May 01 14:46:41 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
