"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14205","ONEVIEW-760: Verify fixed cards are excluded from the drawer @regression","chromium","Mon May 18 11:46:42 IST 2026","passed","Mon May 18 11:46:56 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","21660","ONEVIEW-792: Verify removed card remains available for re-adding @regression","chromium","Mon May 18 11:52:46 IST 2026","passed","Mon May 18 11:53:08 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","16866","ONEVIEW-789: Verify card is removed from dashboard layout on Remove click @regression","chromium","Mon May 18 11:52:29 IST 2026","passed","Mon May 18 11:52:46 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","16431","ONEVIEW-755: Verify drawer reflects real-time layout changes @regression","chromium","Mon May 18 11:46:24 IST 2026","passed","Mon May 18 11:46:40 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","19120","ONEVIEW-753: Verify button state toggle on Add action @regression","chromium","Mon May 18 11:46:08 IST 2026","passed","Mon May 18 11:46:27 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","18781","ONEVIEW-776: Verify multiple cards can be added without restriction @regression","chromium","Mon May 18 11:44:26 IST 2026","passed","Mon May 18 11:44:45 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","21861","ONEVIEW-810: Verify Restore Preferred Layout option and confirmation @smoke","smoke","Mon May 18 11:43:48 IST 2026","passed","Mon May 18 11:44:09 IST 2026","Phase-2 > Preferred Layout UI > Smoke - Preferred Layout UI","smokePhase-2\PreferredLayout.spec.js","",""
"","16741","ONEVIEW-730: Verify Add Cards drawer search bar UI @regression","chromium","Mon May 18 11:48:28 IST 2026","passed","Mon May 18 11:48:45 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","18228","ONEVIEW-824: Verify Cancel on Restore Default confirmation retains current layout @regression","chromium","Mon May 18 11:50:38 IST 2026","passed","Mon May 18 11:50:56 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","33024","ONEVIEW-800: Verify Cancel preserves the removed state until Save @regression","chromium","Mon May 18 11:53:34 IST 2026","passed","Mon May 18 11:54:07 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","17701","ONEVIEW-803: Verify Remove button typography and color consistency @regression","chromium","Mon May 18 11:54:06 IST 2026","passed","Mon May 18 11:54:24 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","18518","ONEVIEW-725: Verify scrollbar behavior in Edit Mode @regression","chromium","Mon May 18 11:48:09 IST 2026","passed","Mon May 18 11:48:27 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","19497","ONEVIEW-807: Verify layout is saved on confirmation @smoke","smoke","Mon May 18 11:42:54 IST 2026","passed","Mon May 18 11:43:14 IST 2026","Phase-2 > Preferred Layout UI > Smoke - Preferred Layout UI","smokePhase-2\PreferredLayout.spec.js","",""
"","17077","ONEVIEW-740: Verify card icons and visual identity in Add Cards drawer @regression","chromium","Mon May 18 11:49:08 IST 2026","passed","Mon May 18 11:49:25 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","33306","ONEVIEW-799: Verify Remove action does not affect other dashboard data @regression","chromium","Mon May 18 11:53:33 IST 2026","passed","Mon May 18 11:54:06 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","795","ONEVIEW-840: Verify card can be reordered within the same column via drag-and-drop @regression","chromium","Mon May 18 11:45:31 IST 2026","skipped","Mon May 18 11:45:32 IST 2026","Phase-2 > Drag & Drop > Drag & Drop - Regression @regression","regressionPhase-2\DragAndDrop.spec.js","",""
"","17981","ONEVIEW-809: Verify Restore Default Layout option and confirmation @smoke","smoke","Mon May 18 11:43:30 IST 2026","passed","Mon May 18 11:43:48 IST 2026","Phase-2 > Preferred Layout UI > Smoke - Preferred Layout UI","smokePhase-2\PreferredLayout.spec.js","",""
"","27644","ONEVIEW-836: Verify Save after Restore Default creates new Preferred Layout @regression","chromium","Mon May 18 11:51:52 IST 2026","passed","Mon May 18 11:52:20 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
